rm: cannot remove ‘/home/yangsi/.matlab/local_cluster_jobs/R2019b/Job5/Task7.common.mat’: Stale file handle
rm: cannot remove ‘/home/yangsi/.matlab/local_cluster_jobs/R2019b/Job2/Task2-13.in.mat’: Stale file handle
rm: cannot remove ‘/home/yangsi/.matlab/local_cluster_jobs/R2019b/Job2/Task13.out.mat’: Stale file handle
rm: cannot remove ‘/home/yangsi/.matlab/local_cluster_jobs/R2019b/Job2/Task4.out.mat’: Stale file handle
rm: cannot remove ‘/home/yangsi/.matlab/local_cluster_jobs/R2019b/Job2/Task12.common.mat’: Stale file handle
rm: cannot remove ‘/home/yangsi/.matlab/local_cluster_jobs/R2019b/Job2/Task8.out.mat’: Stale file handle

                            < M A T L A B (R) >
                  Copyright 1984-2019 The MathWorks, Inc.
              R2019b Update 3 (9.7.0.1261785) 64-bit (glnxa64)
                             November 27, 2019

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> 
OptCase =

    'Optimmay4'

>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> Starting parallel pool (parpool) using the 'local' profile ...
Connected to the parallel pool (number of workers: 13).
>> >> >> >> >> >> >> bgc1d_iteration - cost : 0.036089
bgc1d_iteration - cost : 0.035862
bgc1d_iteration - cost : 0.018139
bgc1d_iteration - cost : 0.027304
bgc1d_iteration - cost : 0.030461
bgc1d_iteration - cost : 0.027598
bgc1d_iteration - cost : 0.043282
bgc1d_iteration - cost : 0.036122
bgc1d_iteration - cost : 0.039659
bgc1d_iteration - cost : 0.035915
bgc1d_iteration - cost : 0.031947
bgc1d_iteration - cost : 0.036216
bgc1d_iteration - cost : 0.034864
bgc1d_iteration - cost : 0.018986
bgc1d_iteration - cost : 0.036205
bgc1d_iteration - cost : 0.037495
bgc1d_iteration - cost : 0.07248
bgc1d_iteration - cost : 0.036185
bgc1d_iteration - cost : 0.032561
bgc1d_iteration - cost : 0.036149
bgc1d_iteration - cost : 2647058.8249
bgc1d_iteration - cost : 0.028963
bgc1d_iteration - cost : 0.029219
bgc1d_iteration - cost : 0.037431
bgc1d_iteration - cost : 2647058.8257
bgc1d_iteration - cost : 0.036504
bgc1d_iteration - cost : 0.036171
bgc1d_iteration - cost : 0.02941
bgc1d_iteration - cost : 0.044033
bgc1d_iteration - cost : 0.033477
bgc1d_iteration - cost : 0.041199
bgc1d_iteration - cost : 0.033991
bgc1d_iteration - cost : 0.029061
bgc1d_iteration - cost : 0.030567
bgc1d_iteration - cost : 0.036045
bgc1d_iteration - cost : 0.034027
bgc1d_iteration - cost : 0.071941
bgc1d_iteration - cost : 0.019769
bgc1d_iteration - cost : 0.040415
bgc1d_iteration - cost : 0.033024
bgc1d_iteration - cost : 0.036283
bgc1d_iteration - cost : 0.038826
bgc1d_iteration - cost : 0.037336
bgc1d_iteration - cost : 0.066364
bgc1d_iteration - cost : 0.040581
bgc1d_iteration - cost : 0.035588
bgc1d_iteration - cost : 0.077531
bgc1d_iteration - cost : 0.055303
bgc1d_iteration - cost : 0.040921
bgc1d_iteration - cost : 0.036274
bgc1d_iteration - cost : 0.032492
bgc1d_iteration - cost : 0.041785
bgc1d_iteration - cost : 0.021014
bgc1d_iteration - cost : 0.043208
bgc1d_iteration - cost : 0.036459
bgc1d_iteration - cost : 0.037922
bgc1d_iteration - cost : 0.061733
bgc1d_iteration - cost : 0.025181
bgc1d_iteration - cost : 0.036927
bgc1d_iteration - cost : 0.029735
bgc1d_iteration - cost : 0.036359
bgc1d_iteration - cost : 0.037095
bgc1d_iteration - cost : 0.098369
bgc1d_iteration - cost : 0.044031
bgc1d_iteration - cost : 0.036012
bgc1d_iteration - cost : 0.02414
bgc1d_iteration - cost : 0.036071
bgc1d_iteration - cost : 0.064237
bgc1d_iteration - cost : 0.036172
bgc1d_iteration - cost : 0.036047
bgc1d_iteration - cost : 0.12792
bgc1d_iteration - cost : 0.035926
bgc1d_iteration - cost : 0.081672
bgc1d_iteration - cost : 2647058.8244
bgc1d_iteration - cost : 0.035964
bgc1d_iteration - cost : 0.060628
bgc1d_iteration - cost : 0.022758
bgc1d_iteration - cost : 0.036036
bgc1d_iteration - cost : 0.026277
bgc1d_iteration - cost : 0.027479
bgc1d_iteration - cost : 0.03506
bgc1d_iteration - cost : 0.020827
bgc1d_iteration - cost : 0.03818
bgc1d_iteration - cost : 0.032154
bgc1d_iteration - cost : 0.025893
bgc1d_iteration - cost : 2647058.8248
bgc1d_iteration - cost : 0.035893
bgc1d_iteration - cost : 0.01801
bgc1d_iteration - cost : 0.036683
bgc1d_iteration - cost : 0.035227
bgc1d_iteration - cost : 0.015008
bgc1d_iteration - cost : 0.013948
bgc1d_iteration - cost : 0.026884
bgc1d_iteration - cost : 0.035927
bgc1d_iteration - cost : 0.028262
bgc1d_iteration - cost : 0.04044
bgc1d_iteration - cost : 0.025745
bgc1d_iteration - cost : 0.030561
bgc1d_iteration - cost : 0.047998
bgc1d_iteration - cost : 0.018351
bgc1d_iteration - cost : 2647058.8254
bgc1d_iteration - cost : 0.032659
bgc1d_iteration - cost : 0.029727
bgc1d_iteration - cost : 0.01749
bgc1d_iteration - cost : 0.038714
bgc1d_iteration - cost : 0.030879
bgc1d_iteration - cost : 0.048406
bgc1d_iteration - cost : 2647058.8261
bgc1d_iteration - cost : 0.018305
bgc1d_iteration - cost : 2647058.8253
bgc1d_iteration - cost : 0.019412
bgc1d_iteration - cost : 0.019893
bgc1d_iteration - cost : 0.052702
bgc1d_iteration - cost : 0.10372
bgc1d_iteration - cost : 0.049124
bgc1d_iteration - cost : 0.020326
bgc1d_iteration - cost : 0.085861
bgc1d_iteration - cost : 0.053286
bgc1d_iteration - cost : 0.03177
bgc1d_iteration - cost : 0.031398
bgc1d_iteration - cost : 0.02186
bgc1d_iteration - cost : 0.058894
bgc1d_iteration - cost : 0.04743
bgc1d_iteration - cost : 0.034075
bgc1d_iteration - cost : 0.017461
bgc1d_iteration - cost : 0.063983
bgc1d_iteration - cost : 0.034035
bgc1d_iteration - cost : 0.044492
bgc1d_iteration - cost : 0.015536
bgc1d_iteration - cost : 0.031856
bgc1d_iteration - cost : 0.021214
bgc1d_iteration - cost : 0.021089
bgc1d_iteration - cost : 2647058.8273
bgc1d_iteration - cost : 0.019599
bgc1d_iteration - cost : 0.027475
bgc1d_iteration - cost : 0.020332
bgc1d_iteration - cost : 0.070782
bgc1d_iteration - cost : 0.015238
bgc1d_iteration - cost : 0.028256
bgc1d_iteration - cost : 0.02087
bgc1d_iteration - cost : 0.038719
bgc1d_iteration - cost : 0.02298
bgc1d_iteration - cost : 0.020658
bgc1d_iteration - cost : 0.014042
bgc1d_iteration - cost : 0.044945
bgc1d_iteration - cost : 0.019557
bgc1d_iteration - cost : 0.026151
bgc1d_iteration - cost : 0.024106
bgc1d_iteration - cost : 2647058.8257
bgc1d_iteration - cost : 0.01799
bgc1d_iteration - cost : 0.016824
bgc1d_iteration - cost : 0.014632
bgc1d_iteration - cost : 0.061314
bgc1d_iteration - cost : 0.039761
bgc1d_iteration - cost : 0.076566
bgc1d_iteration - cost : 0.029767
bgc1d_iteration - cost : 0.023134
bgc1d_iteration - cost : 0.024916
bgc1d_iteration - cost : 4.3088
bgc1d_iteration - cost : 0.047712
bgc1d_iteration - cost : 0.018984
bgc1d_iteration - cost : 0.42775
bgc1d_iteration - cost : 0.043832
bgc1d_iteration - cost : 0.033669
bgc1d_iteration - cost : 0.019014
bgc1d_iteration - cost : 0.040988
bgc1d_iteration - cost : 0.051905
bgc1d_iteration - cost : 0.015057
bgc1d_iteration - cost : 0.028768
bgc1d_iteration - cost : 2647058.8254
bgc1d_iteration - cost : 0.012983
bgc1d_iteration - cost : 0.65318
bgc1d_iteration - cost : 0.017482
bgc1d_iteration - cost : 0.015434
bgc1d_iteration - cost : 0.016907
bgc1d_iteration - cost : 0.014588
bgc1d_iteration - cost : 0.017374
bgc1d_iteration - cost : 0.016352
bgc1d_iteration - cost : 0.020001
bgc1d_iteration - cost : 0.036735
bgc1d_iteration - cost : 0.038539
bgc1d_iteration - cost : 0.01916
bgc1d_iteration - cost : 0.025725
bgc1d_iteration - cost : 0.017383
bgc1d_iteration - cost : 0.014635
bgc1d_iteration - cost : 0.028678
bgc1d_iteration - cost : 0.021588
bgc1d_iteration - cost : 0.026232
bgc1d_iteration - cost : 0.061062
bgc1d_iteration - cost : 0.020698
bgc1d_iteration - cost : 2647058.8254
bgc1d_iteration - cost : 0.016628
bgc1d_iteration - cost : 0.027426
bgc1d_iteration - cost : 0.0615
bgc1d_iteration - cost : 0.021546
bgc1d_iteration - cost : 0.021357
bgc1d_iteration - cost : 0.028775
bgc1d_iteration - cost : 0.011389
bgc1d_iteration - cost : 0.012451
bgc1d_iteration - cost : 0.042035
bgc1d_iteration - cost : 0.016704
bgc1d_iteration - cost : 0.036444
bgc1d_iteration - cost : 0.15081
bgc1d_iteration - cost : 0.034901
bgc1d_iteration - cost : 0.033522
bgc1d_iteration - cost : 0.031465
bgc1d_iteration - cost : 0.012021
bgc1d_iteration - cost : 0.013977
bgc1d_iteration - cost : 0.019617
bgc1d_iteration - cost : 0.024702
bgc1d_iteration - cost : 0.01678
bgc1d_iteration - cost : 0.021803
bgc1d_iteration - cost : 0.045912
bgc1d_iteration - cost : 0.030317
bgc1d_iteration - cost : 0.017386
bgc1d_iteration - cost : 0.016696
bgc1d_iteration - cost : 0.023687
bgc1d_iteration - cost : 0.024588
bgc1d_iteration - cost : 0.022042
bgc1d_iteration - cost : 0.038062
bgc1d_iteration - cost : 0.012737
bgc1d_iteration - cost : 0.040384
bgc1d_iteration - cost : 0.021277
bgc1d_iteration - cost : 0.036499
bgc1d_iteration - cost : 0.017983
bgc1d_iteration - cost : 0.027665
bgc1d_iteration - cost : 0.016301
bgc1d_iteration - cost : 0.023678
bgc1d_iteration - cost : 0.044499
bgc1d_iteration - cost : 0.012722
bgc1d_iteration - cost : 0.033719
bgc1d_iteration - cost : 0.01855
bgc1d_iteration - cost : 0.014721
bgc1d_iteration - cost : 0.3846
bgc1d_iteration - cost : 0.043136
bgc1d_iteration - cost : 0.01521
bgc1d_iteration - cost : 0.020798
bgc1d_iteration - cost : 0.013768
bgc1d_iteration - cost : 0.023031
bgc1d_iteration - cost : 2647058.8251
bgc1d_iteration - cost : 0.012741
bgc1d_iteration - cost : 0.018016
bgc1d_iteration - cost : 0.019843
bgc1d_iteration - cost : 0.013906
bgc1d_iteration - cost : 0.014779
bgc1d_iteration - cost : 0.02591
bgc1d_iteration - cost : 0.015531
bgc1d_iteration - cost : 0.01774
bgc1d_iteration - cost : 0.021608
bgc1d_iteration - cost : 0.017954
bgc1d_iteration - cost : 0.016559
bgc1d_iteration - cost : 0.011187
bgc1d_iteration - cost : 0.028588
bgc1d_iteration - cost : 0.013365
bgc1d_iteration - cost : 0.016203
bgc1d_iteration - cost : 0.017752
bgc1d_iteration - cost : 0.014141
bgc1d_iteration - cost : 0.019348
bgc1d_iteration - cost : 0.015843
bgc1d_iteration - cost : 0.019747
bgc1d_iteration - cost : 0.023902
bgc1d_iteration - cost : 0.015639
bgc1d_iteration - cost : 0.022794
bgc1d_iteration - cost : 0.017044
bgc1d_iteration - cost : 0.017761
bgc1d_iteration - cost : 0.025103
bgc1d_iteration - cost : 0.034129
bgc1d_iteration - cost : 0.02595
bgc1d_iteration - cost : 0.019204
bgc1d_iteration - cost : 0.021794
bgc1d_iteration - cost : 0.016712
bgc1d_iteration - cost : 0.012512
bgc1d_iteration - cost : 0.014945
bgc1d_iteration - cost : 0.025479
bgc1d_iteration - cost : 0.014158
bgc1d_iteration - cost : 0.044254
bgc1d_iteration - cost : 0.039894
bgc1d_iteration - cost : 0.021377
bgc1d_iteration - cost : 0.037439
